id,label
16956269,To amend the Internal Revenue Code of 1986 to extend the deduction for mortgage insurance.
16956265,Community-Supported Agriculture Promotion Act
16956233,Expedited Legislative Line-Item Veto and Rescissions Act of 2012
16956215,Security and Financial Empowerment Act
16955991,Harmful Algal Blooms and Hypoxia Research and Control Amendments Act of 2011
16955917,Proprietary Information Protection Act of 2012
16955883,Rural Hospital and Provider Equity Act of 2012
16955881,Enhancing the Quality of Parental Legal Representation Act of 2011
16956221,1099K Overreach Prevention Act
16955931,United States Job Creation and International Tax Reform Act of 2012
16956247,Keeping Families in their Home Act of 2012
16956239,Cavernous Angioma CARE Center Act of 2012
16955995,"A bill to require the Secretary of Transportation to establish accelerated licensing procedures to assist veterans to acquire commercial driver's licenses, and for other purposes."
16955951,Small Business Start-up Support Act of 2012
16955941,HONOR Act
16955935,Preserving American Homeownership Act of 2012
16955923,Clean Water Affordability Act of 2012
16955905,Federal Research Public Access Act of 2012
16955895,Comprehensive Cancer Care Improvement Act of 2012
16955877,Student Right to Know Before You Go Act
16955875,A bill to amend the Federal Deposit Insurance Act with respect to information provided to the Bureau of Consumer Financial Protection.
16956249,A bill to extend the pay limitation for Members of Congress and Federal employees.
16956327,S.Amdt.1522
16956315,S.Amdt.1529
16956309,S.Amdt.1519
16956307,S.Amdt.1521
16956305,S.Amdt.1526
16954113,S.Amdt.1515
16955985,"Honoring and remembering the victims of the crash of Continental Connection Flight 3407 in Clarence Center, New York, on February 12, 2009."
16956299,S.Amdt.1525
16956373,S.Amdt.1518
16956369,S.Amdt.1524
16956365,S.Amdt.1514
